"plate","true_rep","isolate","time","value","Blank_Replicate"
"Plate 1","Dulse 1","1",2,0.0206666666666667,0.154
"Plate 1","Dulse 1","1",4,0.0343333333333333,0.144666666666667
"Plate 1","Dulse 1","1",6,0.0426666666666667,0.166
"Plate 1","Dulse 1","1",8,0.0663333333333333,0.162
"Plate 1","Dulse 1","1",10,0.085,0.161666666666667
"Plate 1","Dulse 1","1",12,0.136,0.147666666666667
"Plate 1","Dulse 1","1",14,0.166,0.156
"Plate 1","Dulse 1","1",16,0.145333333333333,0.159666666666667
"Plate 1","Dulse 1","10",2,0.038,0.154
"Plate 1","Dulse 1","10",4,0.048,0.144666666666667
"Plate 1","Dulse 1","10",6,0.044,0.166
"Plate 1","Dulse 1","10",8,0.09,0.162
"Plate 1","Dulse 1","10",10,0.0783333333333333,0.161666666666667
"Plate 1","Dulse 1","10",12,0.0653333333333333,0.147666666666667
"Plate 1","Dulse 1","10",14,0.0876666666666667,0.156
"Plate 1","Dulse 1","10",16,0.0636666666666666,0.159666666666667
"Plate 1","Dulse 1","11",2,0.00749999999999998,0.154
"Plate 1","Dulse 1","11",4,0.0123333333333333,0.144666666666667
"Plate 1","Dulse 1","11",6,0.015,0.166
"Plate 1","Dulse 1","11",8,0.0616666666666666,0.162
"Plate 1","Dulse 1","11",10,0.0896666666666667,0.161666666666667
"Plate 1","Dulse 1","11",12,0.075,0.147666666666667
"Plate 1","Dulse 1","11",14,0.0696666666666667,0.156
"Plate 1","Dulse 1","11",16,0.0663333333333333,0.159666666666667
"Plate 1","Dulse 1","12",2,0.0163333333333333,0.154
"Plate 1","Dulse 1","12",4,0.0333333333333333,0.144666666666667
"Plate 1","Dulse 1","12",6,0.0586666666666666,0.166
"Plate 1","Dulse 1","12",8,0.0806666666666667,0.162
"Plate 1","Dulse 1","12",10,0.102333333333333,0.161666666666667
"Plate 1","Dulse 1","12",12,0.117666666666667,0.147666666666667
"Plate 1","Dulse 1","12",14,0.125,0.156
"Plate 1","Dulse 1","12",16,0.117333333333333,0.159666666666667
"Plate 1","Dulse 1","13",2,0.051,0.154
"Plate 1","Dulse 1","13",4,0.0573333333333333,0.144666666666667
"Plate 1","Dulse 1","13",6,0.0485,0.166
"Plate 1","Dulse 1","13",8,0.03,0.162
"Plate 1","Dulse 1","13",10,0.0683333333333333,0.161666666666667
"Plate 1","Dulse 1","13",12,0.123333333333333,0.147666666666667
"Plate 1","Dulse 1","13",14,0.156666666666667,0.156
"Plate 1","Dulse 1","13",16,0.145333333333333,0.159666666666667
"Plate 1","Dulse 1","14",2,0.026,0.154
"Plate 1","Dulse 1","14",4,0.043,0.144666666666667
"Plate 1","Dulse 1","14",6,0.037,0.166
"Plate 1","Dulse 1","14",8,0.0733333333333333,0.162
"Plate 1","Dulse 1","14",10,0.100666666666667,0.161666666666667
"Plate 1","Dulse 1","14",12,0.114666666666667,0.147666666666667
"Plate 1","Dulse 1","14",14,0.100333333333333,0.156
"Plate 1","Dulse 1","14",16,0.0613333333333333,0.159666666666667
"Plate 1","Dulse 1","15",2,-0.00133333333333333,0.154
"Plate 1","Dulse 1","15",4,0.00266666666666665,0.144666666666667
"Plate 1","Dulse 1","15",6,-0.0153333333333333,0.166
"Plate 1","Dulse 1","15",8,-0.004,0.162
"Plate 1","Dulse 1","15",10,-0.005,0.161666666666667
"Plate 1","Dulse 1","15",12,0.0173333333333333,0.147666666666667
"Plate 1","Dulse 1","15",14,0.0263333333333333,0.156
"Plate 1","Dulse 1","15",16,0.0366666666666667,0.159666666666667
"Plate 1","Dulse 1","2",2,0.012,0.154
"Plate 1","Dulse 1","2",4,0.0126666666666667,0.144666666666667
"Plate 1","Dulse 1","2",6,0.00633333333333333,0.166
"Plate 1","Dulse 1","2",8,0.0803333333333333,0.162
"Plate 1","Dulse 1","2",10,0.059,0.161666666666667
"Plate 1","Dulse 1","2",12,0.0473333333333333,0.147666666666667
"Plate 1","Dulse 1","2",14,0.081,0.156
"Plate 1","Dulse 1","2",16,0.0816666666666667,0.159666666666667
"Plate 1","Dulse 1","3",2,0.00333333333333333,0.154
"Plate 1","Dulse 1","3",4,0.0213333333333333,0.144666666666667
"Plate 1","Dulse 1","3",6,0.0146666666666667,0.166
"Plate 1","Dulse 1","3",8,0.0676666666666667,0.162
"Plate 1","Dulse 1","3",10,0.085,0.161666666666667
"Plate 1","Dulse 1","3",12,0.0906666666666667,0.147666666666667
"Plate 1","Dulse 1","3",14,0.133333333333333,0.156
"Plate 1","Dulse 1","3",16,0.096,0.159666666666667
"Plate 1","Dulse 1","4",2,0.0406666666666667,0.154
"Plate 1","Dulse 1","4",4,0.0216666666666667,0.144666666666667
"Plate 1","Dulse 1","4",6,0.0626666666666667,0.166
"Plate 1","Dulse 1","4",8,0.0396666666666667,0.162
"Plate 1","Dulse 1","4",10,0.087,0.161666666666667
"Plate 1","Dulse 1","4",12,0.143,0.147666666666667
"Plate 1","Dulse 1","4",14,0.228333333333333,0.156
"Plate 1","Dulse 1","4",16,0.369333333333333,0.159666666666667
"Plate 1","Dulse 1","5",2,0.045,0.154
"Plate 1","Dulse 1","5",4,0.065,0.144666666666667
"Plate 1","Dulse 1","5",6,0.0863333333333333,0.166
"Plate 1","Dulse 1","5",8,0.134333333333333,0.162
"Plate 1","Dulse 1","5",10,0.0643333333333333,0.161666666666667
"Plate 1","Dulse 1","5",12,0.118333333333333,0.147666666666667
"Plate 1","Dulse 1","5",14,0.100666666666667,0.156
"Plate 1","Dulse 1","5",16,0.110666666666667,0.159666666666667
"Plate 1","Dulse 1","6",2,0.0333333333333333,0.154
"Plate 1","Dulse 1","6",4,0.0636666666666666,0.144666666666667
"Plate 1","Dulse 1","6",6,0.121333333333333,0.166
"Plate 1","Dulse 1","6",8,0.130333333333333,0.162
"Plate 1","Dulse 1","6",10,0.105,0.161666666666667
"Plate 1","Dulse 1","6",12,0.102666666666667,0.147666666666667
"Plate 1","Dulse 1","6",14,0.09,0.156
"Plate 1","Dulse 1","6",16,0.0886666666666667,0.159666666666667
"Plate 1","Dulse 1","7",2,-0.00466666666666668,0.154
"Plate 1","Dulse 1","7",4,0.0186666666666667,0.144666666666667
"Plate 1","Dulse 1","7",6,0.0553333333333333,0.166
"Plate 1","Dulse 1","7",8,0.120333333333333,0.162
"Plate 1","Dulse 1","7",10,0.145666666666667,0.161666666666667
"Plate 1","Dulse 1","7",12,0.0933333333333334,0.147666666666667
"Plate 1","Dulse 1","7",14,0.231333333333333,0.156
"Plate 1","Dulse 1","7",16,0.274,0.159666666666667
"Plate 1","Dulse 1","8",2,0.021,0.154
"Plate 1","Dulse 1","8",4,0.0173333333333333,0.144666666666667
"Plate 1","Dulse 1","8",6,0.059,0.166
"Plate 1","Dulse 1","8",8,0.0316666666666666,0.162
"Plate 1","Dulse 1","8",10,0.0513333333333333,0.161666666666667
"Plate 1","Dulse 1","8",12,0.129,0.147666666666667
"Plate 1","Dulse 1","8",14,0.228,0.156
"Plate 1","Dulse 1","8",16,0.183333333333333,0.159666666666667
"Plate 1","Dulse 1","9",2,0.0583333333333333,0.154
"Plate 1","Dulse 1","9",4,0.0733333333333333,0.144666666666667
"Plate 1","Dulse 1","9",6,0.0686666666666667,0.166
"Plate 1","Dulse 1","9",8,0.083,0.162
"Plate 1","Dulse 1","9",10,0.0803333333333333,0.161666666666667
"Plate 1","Dulse 1","9",12,0.0933333333333334,0.147666666666667
"Plate 1","Dulse 1","9",14,0.103666666666667,0.156
"Plate 1","Dulse 1","9",16,0.111666666666667,0.159666666666667
"Plate 2","Dulse 1","16",2,0.0133333333333333,0.182666666666667
"Plate 2","Dulse 1","16",4,0.0246666666666667,0.161333333333333
"Plate 2","Dulse 1","16",6,0.0386666666666667,0.156
"Plate 2","Dulse 1","16",8,0.048,0.139333333333333
"Plate 2","Dulse 1","16",10,0.104333333333333,0.135666666666667
"Plate 2","Dulse 1","16",12,0.105,0.122333333333333
"Plate 2","Dulse 1","16",14,0.147666666666667,0.144
"Plate 2","Dulse 1","16",16,0.157666666666667,0.167333333333333
"Plate 2","Dulse 1","17",2,-0.0136666666666667,0.182666666666667
"Plate 2","Dulse 1","17",4,0.0236666666666667,0.161333333333333
"Plate 2","Dulse 1","17",6,0.013,0.156
"Plate 2","Dulse 1","17",8,0.0346666666666667,0.139333333333333
"Plate 2","Dulse 1","17",10,0.047,0.135666666666667
"Plate 2","Dulse 1","17",12,0.091,0.122333333333333
"Plate 2","Dulse 1","17",14,0.0866666666666667,0.144
"Plate 2","Dulse 1","17",16,0.0653333333333333,0.167333333333333
"Plate 2","Dulse 1","18",2,0.00433333333333333,0.182666666666667
"Plate 2","Dulse 1","18",4,0.00666666666666668,0.161333333333333
"Plate 2","Dulse 1","18",6,0.0223333333333333,0.156
"Plate 2","Dulse 1","18",8,0.0436666666666667,0.139333333333333
"Plate 2","Dulse 1","18",10,0.062,0.135666666666667
"Plate 2","Dulse 1","18",12,0.127333333333333,0.122333333333333
"Plate 2","Dulse 1","18",14,0.186666666666667,0.144
"Plate 2","Dulse 1","18",16,0.179333333333333,0.167333333333333
"Plate 2","Dulse 1","19",2,0.00283333333333333,0.182666666666667
"Plate 2","Dulse 1","19",4,0.014,0.161333333333333
"Plate 2","Dulse 1","19",6,0.0566666666666667,0.156
"Plate 2","Dulse 1","19",8,0.053,0.139333333333333
"Plate 2","Dulse 1","19",10,0.061,0.135666666666667
"Plate 2","Dulse 1","19",12,0.117,0.122333333333333
"Plate 2","Dulse 1","19",14,0.145666666666667,0.144
"Plate 2","Dulse 1","19",16,0.177666666666667,0.167333333333333
"Plate 2","Dulse 1","20",2,0.0136666666666667,0.182666666666667
"Plate 2","Dulse 1","20",4,0.0376666666666667,0.161333333333333
"Plate 2","Dulse 1","20",6,0.042,0.156
"Plate 2","Dulse 1","20",8,0.0656666666666667,0.139333333333333
"Plate 2","Dulse 1","20",10,0.099,0.135666666666667
"Plate 2","Dulse 1","20",12,0.139,0.122333333333333
"Plate 2","Dulse 1","20",14,0.177,0.144
"Plate 2","Dulse 1","20",16,0.154333333333333,0.167333333333333
"Plate 2","Dulse 1","21",2,0.0136666666666667,0.182666666666667
"Plate 2","Dulse 1","21",4,0.047,0.161333333333333
"Plate 2","Dulse 1","21",6,0.049,0.156
"Plate 2","Dulse 1","21",8,0.0866666666666667,0.139333333333333
"Plate 2","Dulse 1","21",10,0.111,0.135666666666667
"Plate 2","Dulse 1","21",12,0.178,0.122333333333333
"Plate 2","Dulse 1","21",14,0.184666666666667,0.144
"Plate 2","Dulse 1","21",16,0.136333333333333,0.167333333333333
"Plate 2","Dulse 1","22",2,-0.00766666666666668,0.182666666666667
"Plate 2","Dulse 1","22",4,0.0366666666666667,0.161333333333333
"Plate 2","Dulse 1","22",6,0.0673333333333333,0.156
"Plate 2","Dulse 1","22",8,0.096,0.139333333333333
"Plate 2","Dulse 1","22",10,0.098,0.135666666666667
"Plate 2","Dulse 1","22",12,0.138333333333333,0.122333333333333
"Plate 2","Dulse 1","22",14,0.131333333333333,0.144
"Plate 2","Dulse 1","22",16,0.118666666666667,0.167333333333333
"Plate 2","Dulse 1","23",2,-0.00566666666666668,0.182666666666667
"Plate 2","Dulse 1","23",4,0.00133333333333333,0.161333333333333
"Plate 2","Dulse 1","23",6,0.0306666666666667,0.156
"Plate 2","Dulse 1","23",8,0.0346666666666667,0.139333333333333
"Plate 2","Dulse 1","23",10,0.0553333333333333,0.135666666666667
"Plate 2","Dulse 1","23",12,0.0993333333333333,0.122333333333333
"Plate 2","Dulse 1","23",14,0.101333333333333,0.144
"Plate 2","Dulse 1","23",16,0.108666666666667,0.167333333333333
"Plate 2","Dulse 1","24",2,0.016,0.182666666666667
"Plate 2","Dulse 1","24",4,0.073,0.161333333333333
"Plate 2","Dulse 1","24",6,0.0726666666666667,0.156
"Plate 2","Dulse 1","24",8,0.0973333333333333,0.139333333333333
"Plate 2","Dulse 1","24",10,0.123333333333333,0.135666666666667
"Plate 2","Dulse 1","24",12,0.145,0.122333333333333
"Plate 2","Dulse 1","24",14,0.145,0.144
"Plate 2","Dulse 1","24",16,0.115333333333333,0.167333333333333
"Plate 2","Dulse 2","1",2,0.061,0.287333333333333
"Plate 2","Dulse 2","1",4,0.0546666666666667,0.255
"Plate 2","Dulse 2","1",6,0.0413333333333333,0.253
"Plate 2","Dulse 2","1",8,0.0506666666666667,0.227333333333333
"Plate 2","Dulse 2","1",10,0.077,0.22
"Plate 2","Dulse 2","1",12,0.107666666666667,0.216666666666667
"Plate 2","Dulse 2","1",14,0.0503333333333333,0.246333333333333
"Plate 2","Dulse 2","1",16,0.0683333333333334,0.280333333333333
"Plate 2","Dulse 2","2",2,0.01,0.287333333333333
"Plate 2","Dulse 2","2",4,0.0386666666666667,0.255
"Plate 2","Dulse 2","2",6,0.0563333333333333,0.253
"Plate 2","Dulse 2","2",8,0.0666666666666667,0.227333333333333
"Plate 2","Dulse 2","2",10,0.0926666666666666,0.22
"Plate 2","Dulse 2","2",12,0.0983333333333333,0.216666666666667
"Plate 2","Dulse 2","2",14,0.131,0.246333333333333
"Plate 2","Dulse 2","2",16,0.084,0.280333333333333
"Plate 2","Dulse 2","3",2,0.024,0.287333333333333
"Plate 2","Dulse 2","3",4,0.0216666666666667,0.255
"Plate 2","Dulse 2","3",6,0.022,0.253
"Plate 2","Dulse 2","3",8,0.0176666666666667,0.227333333333333
"Plate 2","Dulse 2","3",10,0.0283333333333333,0.22
"Plate 2","Dulse 2","3",12,0.0496666666666667,0.216666666666667
"Plate 2","Dulse 2","3",14,0.0513333333333333,0.246333333333333
"Plate 2","Dulse 2","3",16,-0.0106666666666667,0.280333333333333
"Plate 2","Dulse 2","4",2,0.0256666666666667,0.287333333333333
"Plate 2","Dulse 2","4",4,0.0623333333333333,0.255
"Plate 2","Dulse 2","4",6,0.0856666666666667,0.253
"Plate 2","Dulse 2","4",8,0.0946666666666667,0.227333333333333
"Plate 2","Dulse 2","4",10,0.118333333333333,0.22
"Plate 2","Dulse 2","4",12,0.110666666666667,0.216666666666667
"Plate 2","Dulse 2","4",14,0.094,0.246333333333333
"Plate 2","Dulse 2","4",16,0.0566666666666667,0.280333333333333
"Plate 2","Dulse 2","5",2,0.0183333333333333,0.287333333333333
"Plate 2","Dulse 2","5",4,0.087,0.255
"Plate 2","Dulse 2","5",6,0.0793333333333333,0.253
"Plate 2","Dulse 2","5",8,0.142333333333333,0.227333333333333
"Plate 2","Dulse 2","5",10,0.130666666666667,0.22
"Plate 2","Dulse 2","5",12,0.101,0.216666666666667
"Plate 2","Dulse 2","5",14,0.075,0.246333333333333
"Plate 2","Dulse 2","5",16,0.0746666666666667,0.280333333333333
"Plate 3","Dulse 2","10",2,-0.012,0.3205
"Plate 3","Dulse 2","10",4,-0.021,0.263
"Plate 3","Dulse 2","10",6,0,0.277
"Plate 3","Dulse 2","10",8,0.0106666666666667,0.247666666666667
"Plate 3","Dulse 2","10",10,0.0206666666666667,0.246333333333333
"Plate 3","Dulse 2","10",12,0.0718333333333333,0.2185
"Plate 3","Dulse 2","10",14,0.0150000000000001,0.254333333333333
"Plate 3","Dulse 2","10",16,0.0306666666666667,0.240333333333333
"Plate 3","Dulse 2","11",2,-0.0458333333333333,0.3205
"Plate 3","Dulse 2","11",4,0.00766666666666665,0.263
"Plate 3","Dulse 2","11",6,0.0693333333333333,0.277
"Plate 3","Dulse 2","11",8,0.052,0.247666666666667
"Plate 3","Dulse 2","11",10,0.0626666666666666,0.246333333333333
"Plate 3","Dulse 2","11",12,0.1035,0.2185
"Plate 3","Dulse 2","11",14,0.095,0.254333333333333
"Plate 3","Dulse 2","11",16,0.0806666666666667,0.240333333333333
"Plate 3","Dulse 2","12",2,-0.0501666666666667,0.3205
"Plate 3","Dulse 2","12",4,-0.002,0.263
"Plate 3","Dulse 2","12",6,0.038,0.277
"Plate 3","Dulse 2","12",8,0.051,0.247666666666667
"Plate 3","Dulse 2","12",10,0.079,0.246333333333333
"Plate 3","Dulse 2","12",12,0.0881666666666666,0.2185
"Plate 3","Dulse 2","12",14,0.0703333333333334,0.254333333333333
"Plate 3","Dulse 2","12",16,0.084,0.240333333333333
"Plate 3","Dulse 2","13",2,-0.052,0.3205
"Plate 3","Dulse 2","13",4,0.0053333333333333,0.263
"Plate 3","Dulse 2","13",6,0.0846666666666667,0.277
"Plate 3","Dulse 2","13",8,0.0383333333333333,0.247666666666667
"Plate 3","Dulse 2","13",10,0.086,0.246333333333333
"Plate 3","Dulse 2","13",12,0.107166666666667,0.2185
"Plate 3","Dulse 2","13",14,0.0740000000000001,0.254333333333333
"Plate 3","Dulse 2","13",16,0.0933333333333333,0.240333333333333
"Plate 3","Dulse 2","14",2,-0.0435,0.3205
"Plate 3","Dulse 2","14",4,0.0253333333333333,0.263
"Plate 3","Dulse 2","14",6,0.0673333333333333,0.277
"Plate 3","Dulse 2","14",8,0.0826666666666667,0.247666666666667
"Plate 3","Dulse 2","14",10,0.0753333333333333,0.246333333333333
"Plate 3","Dulse 2","14",12,NA,0.2185
"Plate 3","Dulse 2","14",14,0.0760000000000001,0.254333333333333
"Plate 3","Dulse 2","14",16,0.093,0.240333333333333
"Plate 3","Dulse 2","15",2,0.00483333333333336,0.3205
"Plate 3","Dulse 2","15",4,-0.0293333333333334,0.263
"Plate 3","Dulse 2","15",6,-0.00733333333333336,0.277
"Plate 3","Dulse 2","15",8,-0.00533333333333336,0.247666666666667
"Plate 3","Dulse 2","15",10,0.0166666666666667,0.246333333333333
"Plate 3","Dulse 2","15",12,0.0771666666666667,0.2185
"Plate 3","Dulse 2","15",14,0.0503333333333333,0.254333333333333
"Plate 3","Dulse 2","15",16,0.0656666666666667,0.240333333333333
"Plate 3","Dulse 2","16",2,-0.0485,0.3205
"Plate 3","Dulse 2","16",4,-0.0253333333333333,0.263
"Plate 3","Dulse 2","16",6,0.0093333333333333,0.277
"Plate 3","Dulse 2","16",8,0.0306666666666666,0.247666666666667
"Plate 3","Dulse 2","16",10,0.054,0.246333333333333
"Plate 3","Dulse 2","16",12,0.0921666666666666,0.2185
"Plate 3","Dulse 2","16",14,0.0683333333333334,0.254333333333333
"Plate 3","Dulse 2","16",16,0.098,0.240333333333333
"Plate 3","Dulse 2","17",2,0.0148333333333333,0.3205
"Plate 3","Dulse 2","17",4,-0.005,0.263
"Plate 3","Dulse 2","17",6,0.0396666666666666,0.277
"Plate 3","Dulse 2","17",8,0.0203333333333333,0.247666666666667
"Plate 3","Dulse 2","17",10,0.0366666666666666,0.246333333333333
"Plate 3","Dulse 2","17",12,0.0991666666666667,0.2185
"Plate 3","Dulse 2","17",14,0.0796666666666667,0.254333333333333
"Plate 3","Dulse 2","17",16,0.076,0.240333333333333
"Plate 3","Dulse 2","18",2,0.0298333333333333,0.3205
"Plate 3","Dulse 2","18",4,0.035,0.263
"Plate 3","Dulse 2","18",6,0.049,0.277
"Plate 3","Dulse 2","18",8,0.068,0.247666666666667
"Plate 3","Dulse 2","18",10,0.0866666666666667,0.246333333333333
"Plate 3","Dulse 2","18",12,NA,0.2185
"Plate 3","Dulse 2","18",14,0.118666666666667,0.254333333333333
"Plate 3","Dulse 2","18",16,0.0826666666666667,0.240333333333333
"Plate 3","Dulse 2","19",2,-0.0598333333333333,0.3205
"Plate 3","Dulse 2","19",4,-0.0176666666666667,0.263
"Plate 3","Dulse 2","19",6,0.0186666666666667,0.277
"Plate 3","Dulse 2","19",8,0.0483333333333333,0.247666666666667
"Plate 3","Dulse 2","19",10,0.0773333333333333,0.246333333333333
"Plate 3","Dulse 2","19",12,0.130166666666667,0.2185
"Plate 3","Dulse 2","19",14,0.115333333333333,0.254333333333333
"Plate 3","Dulse 2","19",16,0.114333333333333,0.240333333333333
"Plate 3","Dulse 2","20",2,-0.032,0.3205
"Plate 3","Dulse 2","20",4,-0.034,0.263
"Plate 3","Dulse 2","20",6,-0.0243333333333334,0.277
"Plate 3","Dulse 2","20",8,-0.0293333333333334,0.247666666666667
"Plate 3","Dulse 2","20",10,-0.00866666666666668,0.246333333333333
"Plate 3","Dulse 2","20",12,0.0375,0.2185
"Plate 3","Dulse 2","20",14,0.031,0.254333333333333
"Plate 3","Dulse 2","20",16,0.05,0.240333333333333
"Plate 3","Dulse 2","6",2,-0.0595,0.3205
"Plate 3","Dulse 2","6",4,-0.0263333333333333,0.263
"Plate 3","Dulse 2","6",6,0.0336666666666666,0.277
"Plate 3","Dulse 2","6",8,0.028,0.247666666666667
"Plate 3","Dulse 2","6",10,0.0486666666666666,0.246333333333333
"Plate 3","Dulse 2","6",12,0.106166666666667,0.2185
"Plate 3","Dulse 2","6",14,0.0576666666666667,0.254333333333333
"Plate 3","Dulse 2","6",16,0.061,0.240333333333333
"Plate 3","Dulse 2","7",2,-0.0355,0.3205
"Plate 3","Dulse 2","7",4,0.0386666666666666,0.263
"Plate 3","Dulse 2","7",6,0.117,0.277
"Plate 3","Dulse 2","7",8,0.092,0.247666666666667
"Plate 3","Dulse 2","7",10,0.121666666666667,0.246333333333333
"Plate 3","Dulse 2","7",12,0.158166666666667,0.2185
"Plate 3","Dulse 2","7",14,0.115666666666667,0.254333333333333
"Plate 3","Dulse 2","7",16,0.126333333333333,0.240333333333333
"Plate 3","Dulse 2","8",2,-0.0131666666666667,0.3205
"Plate 3","Dulse 2","8",4,-0.057,0.263
"Plate 3","Dulse 2","8",6,-0.0183333333333334,0.277
"Plate 3","Dulse 2","8",8,-0.0243333333333333,0.247666666666667
"Plate 3","Dulse 2","8",10,-0.033,0.246333333333333
"Plate 3","Dulse 2","8",12,-0.00583333333333333,0.2185
"Plate 3","Dulse 2","8",14,-0.0333333333333333,0.254333333333333
"Plate 3","Dulse 2","8",16,0.0206666666666667,0.240333333333333
"Plate 3","Dulse 2","9",2,-0.0171666666666667,0.3205
"Plate 3","Dulse 2","9",4,-0.0356666666666667,0.263
"Plate 3","Dulse 2","9",6,0.0073333333333333,0.277
"Plate 3","Dulse 2","9",8,-0.000666666666666677,0.247666666666667
"Plate 3","Dulse 2","9",10,0.0333333333333333,0.246333333333333
"Plate 3","Dulse 2","9",12,0.0511666666666667,0.2185
"Plate 3","Dulse 2","9",14,0.0436666666666667,0.254333333333333
"Plate 3","Dulse 2","9",16,0.025,0.240333333333333
"Plate 4","Dulse 2","21",2,0.209666666666667,0.233
"Plate 4","Dulse 2","21",4,0.158333333333333,0.229
"Plate 4","Dulse 2","21",6,0.175666666666667,0.258333333333333
"Plate 4","Dulse 2","21",8,0.157,0.210666666666667
"Plate 4","Dulse 2","21",10,0.134,0.199666666666667
"Plate 4","Dulse 2","21",12,0.163333333333333,0.224333333333333
"Plate 4","Dulse 2","21",14,0.178333333333333,0.208
"Plate 4","Dulse 2","21",16,0.162666666666667,0.203666666666667
"Plate 4","Dulse 2","22",2,0.12,0.233
"Plate 4","Dulse 2","22",4,0.0533333333333333,0.229
"Plate 4","Dulse 2","22",6,0.055,0.258333333333333
"Plate 4","Dulse 2","22",8,0.0866666666666667,0.210666666666667
"Plate 4","Dulse 2","22",10,0.095,0.199666666666667
"Plate 4","Dulse 2","22",12,0.149666666666667,0.224333333333333
"Plate 4","Dulse 2","22",14,0.116,0.208
"Plate 4","Dulse 2","22",16,0.125,0.203666666666667
"Plate 4","Dulse 2","23",2,0.0513333333333333,0.233
"Plate 4","Dulse 2","23",4,0.0736666666666666,0.229
"Plate 4","Dulse 2","23",6,0.122166666666667,0.258333333333333
"Plate 4","Dulse 2","23",8,0.105,0.210666666666667
"Plate 4","Dulse 2","23",10,0.111333333333333,0.199666666666667
"Plate 4","Dulse 2","23",12,0.14,0.224333333333333
"Plate 4","Dulse 2","23",14,0.167,0.208
"Plate 4","Dulse 2","23",16,0.159,0.203666666666667
"Plate 4","Dulse 2","24",2,-0.00733333333333336,0.233
"Plate 4","Dulse 2","24",4,0.057,0.229
"Plate 4","Dulse 2","24",6,0.103166666666667,0.258333333333333
"Plate 4","Dulse 2","24",8,0.04,0.210666666666667
"Plate 4","Dulse 2","24",10,0.0610000000000001,0.199666666666667
"Plate 4","Dulse 2","24",12,0.0623333333333334,0.224333333333333
"Plate 4","Dulse 2","24",14,0.09,0.208
"Plate 4","Dulse 2","24",16,0.0866666666666667,0.203666666666667
"Plate 4","Dulse 3","1",2,0.057,0.146
"Plate 4","Dulse 3","1",4,0.0523333333333333,0.147
"Plate 4","Dulse 3","1",6,0.0383333333333333,0.177666666666667
"Plate 4","Dulse 3","1",8,0.0183333333333333,0.144333333333333
"Plate 4","Dulse 3","1",10,0.0483333333333333,0.145
"Plate 4","Dulse 3","1",12,0.133666666666667,0.147
